trait_id	original_category	product_module	trait_name_original	trait_name_consumer_friendly	scientific_description_short	what_can_be_tested	what_cannot_be_claimed	number_of_rsids	rsids	genes_cleaned	has_pdf_only_candidate_rsids	has_structured_catalog_rsids	marker_validation_status	requires_external_annotation	requires_clinvar_review	requires_gwas_review	requires_pharmgkb_review	requires_manual_scientific_review	privacy_or_regulatory_sensitivity	recommended_product_tier	mvp_include_candidate_yes_no	reason_for_tier	recommended_report_language	required_caveat	notes
wg-2068	genetic_disease	Disease Risk (Sensitive)	Achromatopsia	Achromatopsia	Genetic variants associated with Achromatopsia. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Achromatopsia.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	5	rs76135;rs79704;rs104893613;rs104893614;rs121918539	APOB;ATF6;BRAF;CC2D2A;CEP290;CNGA3;CNGB3;COASY;GNPTA;GNPTAB;GNPTG;KRAS;MAP2K1;MAP2K2;MCOLN;MCOLN1;MKS1;OCA2;PDE6C;PLA2G6;RPGRIP;SLC45A2;TMEM2;TMEM216;TMEM67;TYR;TYRP1;UBE3A;WDR45	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2141	genetic_disease	Disease Risk (Sensitive)	Acrocallosal Syndrome (ACLS)	Acrocallosal Syndrome (ACLS)	Genetic variants associated with Acrocallosal Syndrome (ACLS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Acrocallosal Syndrome (ACLS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	1	rs794727316	KIF7	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2144	genetic_disease	Disease Risk (Sensitive)	Acromicric Dysplasia	Acromicric Dysplasia	Genetic variants associated with Acromicric Dysplasia. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Acromicric Dysplasia.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	4	rs58777;rs1064797059;rs1131692052;rs1555398394	CLP1;EXOSC3;FBN1;FBXL4;IL7R;MPV17;PGM3;PIK3R1;POLG;RARS2;SEPSEC;SLC25A;STAT1;SUCLG1;TK2;TSEN54;TYMP;VRK1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1987	genetic_disease	Disease Risk (Sensitive)	Acth-independent Macronodular Adrenal Hyperplasia (AIMAH)	Acth-independent Macronodular Adrenal Hyperplasia (AIMAH)	Genetic variants associated with Acth-independent Macronodular Adrenal Hyperplasia (AIMAH). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Acth-independent Macronodular Adrenal Hyperplasia (AIMAH).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	1	rs369721476	ARMC5	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2111	genetic_disease	Disease Risk (Sensitive)	Acyl-Coenzyme A Dehydrogenase Deficiency	Acyl-Coenzyme A Dehydrogenase Deficiency	Genetic variants associated with Acyl-Coenzyme A Dehydrogenase Deficiency. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Acyl-Coenzyme A Dehydrogenase Deficiency.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	5	rs75875;rs796051901;rs121434275;rs121434277;rs121434278	ACADM	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2093	genetic_disease	Disease Risk (Sensitive)	Agammaglobulinemia	Agammaglobulinemia	Genetic variants associated with Agammaglobulinemia. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Agammaglobulinemia.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	4	rs19392;rs104894770;rs128620183;rs128620184	ABCC8;BTK;GCK;HNF1A;HNF4A;INS;KCNJ11;NAC5;PDX1;ST6GAL	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-42	health_risk	Disease Risk (Sensitive)	Age-related Macular Degeneration (AMD)	Age-related Macular Degeneration (AMD)	Genetic variants associated with Age-related Macular Degeneration (AMD). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Age-related Macular Degeneration (AMD).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	10	rs3793917;rs3750846;rs3750848;rs10490924;rs10922109;rs1064039;rs11200638;rs2511989;rs1136287;rs5888	ARMS2;CFH;CST3;HTRA1;SERPINF1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-172	genetic_disease	Disease Risk (Sensitive)	Agenesis of The Corpus Callosum with Peripheral Neuropathy (ACCPN)	Agenesis of The Corpus Callosum with Peripheral Neuropathy (ACCPN)	Genetic variants associated with Agenesis of The Corpus Callosum with Peripheral Neuropathy (ACCPN). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Agenesis of The Corpus Callosum with Peripheral Neuropathy (ACCPN).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	1	rs121908428	SLC12A6	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2155	genetic_disease	Disease Risk (Sensitive)	Aicardi-Goutieres Syndrome (AGS)	Aicardi-Goutieres Syndrome (AGS)	Genetic variants associated with Aicardi-Goutieres Syndrome (AGS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Aicardi-Goutieres Syndrome (AGS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	4	rs78218;rs376048533;rs587777446;rs76642637	IFIH1;RNASEH2B;TREX1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2138	genetic_disease	Disease Risk (Sensitive)	Akinesia Deformation Sequence (ADS)	Akinesia Deformation Sequence (ADS)	Genetic variants associated with Akinesia Deformation Sequence (ADS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Akinesia Deformation Sequence (ADS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	2	rs121909257;rs794727884	DOK7;RAPSN	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-52	health_risk	Disease Risk (Sensitive)	Alcohol Dependence	Alcohol Dependence	Genetic variants associated with Alcohol Dependence. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Alcohol Dependence.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	6	rs2673136;rs1229984;rs2066702;rs27072;rs7590720;rs492602	ADH1B;ADH1C;ALDH2;CYP1A1;EPHX1;ERAP1;HCP5;IL12B;IL23R;MIR1273;MIR1273H;SLC6A3;TAS2R38;TYK2	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1647	health_risk	Disease Risk (Sensitive)	Alcoholic Fatty Liver Disease (AFLD)	Alcoholic Fatty Liver Disease (AFLD)	Genetic variants associated with Alcoholic Fatty Liver Disease (AFLD). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Alcoholic Fatty Liver Disease (AFLD).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs738409;rs58542926;rs626283	AGTR1;ALDH2;APOE;C2;EFCAB11;HMBS;KIF1B;MICA;PNPLA3;PPARGC1A;SERPINA1;STAT4;TM6SF2	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2014	genetic_disease	Disease Risk (Sensitive)	Alkaptonuria	Alkaptonuria	Genetic variants associated with Alkaptonuria. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Alkaptonuria.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs120074173;rs120074174;rs28942100	HGD	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1521	health_risk	Disease Risk (Sensitive)	Allergic Diseases	Allergic Diseases	Genetic variants associated with Allergic Diseases. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Allergic Diseases.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	9	rs1444789;rs5743618;rs10865050;rs28895016;rs10414065;rs10910095;rs301806;rs760805;rs76167968	FLG;GSDMB;IL13;IL2RA;STAT6;TLR1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-57	health_risk	Disease Risk (Sensitive)	Allergic Rhinitis	Allergic Rhinitis	Genetic variants associated with Allergic Rhinitis. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Allergic Rhinitis.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	6	rs2155219;rs7775228;rs11256017;rs34004019;rs148505069;rs1059513	CLEC16A;DCAF1;IL13;JAZF1;LPP;PUS10;RERE;STAT6;ZNF365	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-99	health_risk	Disease Risk (Sensitive)	Alopecia Areata	Alopecia Areata	Genetic variants associated with Alopecia Areata. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Alopecia Areata.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	6	rs9275572;rs574087;rs3118470;rs2009345;rs9275524;rs1024161	ACOXL;CLEC16A;CTLA4;IL13;IL2RA;PTPN22;SLAMF6;STAT4;TLR3	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-173	genetic_disease	Disease Risk (Sensitive)	Alpha-1 Antitrypsin Deficiency	Alpha-1 Antitrypsin Deficiency	Genetic variants associated with Alpha-1 Antitrypsin Deficiency. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Alpha-1 Antitrypsin Deficiency.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	2	rs17580;rs2892947	SERPINA1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2243	genetic_disease	Disease Risk (Sensitive)	Alpha-N-Acetylgalactosaminidase Deficiency (α-NAGA)	Alpha-N-Acetylgalactosaminidase Deficiency (α-NAGA)	Genetic variants associated with Alpha-N-Acetylgalactosaminidase Deficiency (α-NAGA). Disease risk markers require clinical validation.	No genetic markers identified in the structured catalog.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	0			no	no	no_markers	no	yes	no	no	no	high	E	no	No rsIDs linked to this trait.	N/A - no markers or not suitable	No genetic markers identified. Not suitable for commercial reporting.	
wg-1570	genetic_disease	Disease Risk (Sensitive)	Alport Syndrome	Alport Syndrome	Genetic variants associated with Alport Syndrome. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Alport Syndrome.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	5	rs10488;rs12191;rs79472;rs200672668;rs190598500	BAG3;BMPR1A;COL1A1;COL1A2;COL4A3;COL4A5;DES;FLNC;KDM6A;KMT2D;MVK;P3H1;RYR1;SMAD4;TNNI3	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2156	genetic_disease	Disease Risk (Sensitive)	Alstrom Syndrome (AS)	Alstrom Syndrome (AS)	Genetic variants associated with Alstrom Syndrome (AS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Alstrom Syndrome (AS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs398122992;rs398122994;rs398122995	ALMS1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1579	genetic_disease	Disease Risk (Sensitive)	Aminoglycoside-Induced Deafness	Aminoglycoside-Induced Deafness	Genetic variants associated with Aminoglycoside-Induced Deafness. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Aminoglycoside-Induced Deafness.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs267606619;rs28358569;rs267606617	RNR1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-60	health_risk	Disease Risk (Sensitive)	Amyotrophic Lateral Sclerosis (ALS)	Amyotrophic Lateral Sclerosis (ALS)	Genetic variants associated with Amyotrophic Lateral Sclerosis (ALS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Amyotrophic Lateral Sclerosis (ALS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	8	rs10260404;rs2814707;rs2453555;rs10239794;rs4075094;rs12608932;rs6539137;rs11701	ANG;DPP6;TXNRD1;UNC13A	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1975	genetic_disease	Disease Risk (Sensitive)	Angelman Syndrome (AS)	Angelman Syndrome (AS)	Genetic variants associated with Angelman Syndrome (AS). Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Angelman Syndrome (AS).	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	4	rs587780570;rs79704;rs587780577;rs587781204	APOB;ATF6;BRAF;CC2D2A;CEP290;CNGA3;CNGB3;COASY;GNPTA;GNPTAB;GNPTG;KRAS;MAP2K1;MAP2K2;MCOLN;MCOLN1;MKS1;OCA2;PDE6C;PLA2G6;RPGRIP;SLC45A2;TMEM2;TMEM216;TMEM67;TYR;TYRP1;UBE3A;WDR45	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-2094	genetic_disease	Disease Risk (Sensitive)	Aniridia	Aniridia	Genetic variants associated with Aniridia. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Aniridia.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	3	rs121907900;rs121907906;rs121907916	PAX6;WT1	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
wg-1699	health_risk	Disease Risk (Sensitive)	Anorexia Nervosa	Anorexia Nervosa	Genetic variants associated with Anorexia Nervosa. Disease risk markers require clinical validation.	Association testing using genetic markers from the structured WeGene catalog related to Anorexia Nervosa.	No clinical or diagnostic claims can be made. All rsIDs are externally unvalidated. This is a sensitive trait requiring clinical, regulatory, and ethical review before any reporting.	5	rs13100344;rs2287348;rs2008387;rs10747478;rs9821797	ERLEC1;MGMT;NCKIPSD	no	yes	structured_catalog_unvalidated	yes	yes	yes	no	yes	high	C	no	Sensitive trait (disease risk, pharmacogenomics, carrier status, reproductive genetics, or substance response). Requires clinical/regulatory review.	clinical, requires professional review	Sensitive trait. Requires clinical, regulatory, and ethical review. Not for direct-to-consumer reporting without professional oversight.	
